Dept_Name,Agency_Name,Appropriation_Type,Category,Item_Name,2024_Actual_NG,2025_Program_NG,2026_GAA_NG,Page_No
Congress,Senate,New General,Building and Other Structures Outlay,Buildings,2950000,2609900,0,1
Congress,Senate,Continuing,Building and Other Structures Outlay,Buildings,1565000,0,0,1
Congress,House of Representatives,New General,Building and Other Structures Outlay,Building and Other Structures Outlay,2100085,1800000,400000,1
Congress,House of Representatives,Continuing,Building and Other Structures Outlay,Other Structures,607300,0,0,1
Office of the President,The President's Offices,New General,Land Improvements Outlay,Other Land Improvements,0,0,16300,1
Office of the President,The President's Offices,New General,Building and Other Structures Outlay,Building and Other Structures Outlay,1192062,997689,558300,1
Office of the President,The President's Offices,New General,Building and Other Structures Outlay,Buildings,1192062,905994,558300,1
Office of the President,The President's Offices,New General,Building and Other Structures Outlay,Other Structures,0,91695,0,2
Office of the President,The President's Offices,New General,Machinery and Equipment Outlay,Military Police and Security Equipment,0,0,5000,2
Office of the President,The President's Offices,Continuing,Building and Other Structures Outlay,Buildings,19165,0,0,2
Department of Agrarian Reform,Office of the Secretary,New General,Land Improvements Outlay,Other Land Improvements,0,3726,0,2
Department of Agrarian Reform,Office of the Secretary,New General,Infrastructure Outlay,Infrastructure Outlay,0,647,806111,2
Department of Agrarian Reform,Office of the Secretary,New General,Infrastructure Outlay,Road Networks,0,0,666585,2
Department of Agrarian Reform,Office of the Secretary,New General,Infrastructure Outlay,Water Supply Systems,0,485,125773,2
Department of Agrarian Reform,Office of the Secretary,New General,Infrastructure Outlay,Other Infrastructure Assets,0,162,13753,2
Department of Agrarian Reform,Office of the Secretary,Continuing,Building and Other Structures Outlay,Buildings,20149,0,0,2
Department of Agrarian Reform,Office of the Secretary,Automatic,Infrastructure Outlay,Infrastructure Outlay,2619400,0,0,3
Department of Agrarian Reform,Office of the Secretary,Automatic,Infrastructure Outlay,Road Networks,2515900,0,0,3
Department of Agrarian Reform,Office of the Secretary,Automatic,Infrastructure Outlay,Water Supply Systems,103500,0,0,3
Department of Agriculture,Office of the Secretary,New General,Land Improvements Outlay,Other Land Improvements,48673,161710,320889,3
Department of Agriculture,Office of the Secretary,New General,Infrastructure Outlay,Infrastructure Outlay,2065464,36082053,44079785,3
Department of Agriculture,Office of the Secretary,New General,Infrastructure Outlay,Road Networks,0,31412548,37822712,3
Department of Agriculture,Office of the Secretary,New General,Infrastructure Outlay,Water Supply Systems,1330314,4049028,2922131,3
Department of Agriculture,Office of the Secretary,New General,Infrastructure Outlay,Power Supply Systems,0,0,7485,3
Department of Agriculture,Office of the Secretary,New General,Infrastructure Outlay,Communications Networks,0,5480,0,3
Department of Agriculture,Office of the Secretary,New General,Infrastructure Outlay,Other Infrastructure Assets,735150,614997,3327457,3
Department of Agriculture,Office of the Secretary,New General,Building and Other Structures Outlay,Building and Other Structures Outlay,2179316,4026000,6682293,3
Department of Agriculture,Office of the Secretary,New General,Building and Other Structures Outlay,Buildings,1223194,1409979,4880671,3
Department of Agriculture,Office of the Secretary,New General,Building and Other Structures Outlay,Slaughterhouses,0,1800,0,3
Department of Agriculture,Office of the Secretary,New General,Building and Other Structures Outlay,Hostels and Dormitories,0,0,12600,3
Department of Agriculture,Office of the Secretary,New General,Building and Other Structures Outlay,Other Structures,956122,2614221,1789022,3
Department of Agriculture,Office of the Secretary,New General,Transportation Equipment Outlay,Watercrafts,0,0,650,4
Department of Agriculture,Office of the Secretary,Continuing,Land Improvements Outlay,Other Land Improvements,12138,0,0,4
Department of Agriculture,Office of the Secretary,Continuing,Infrastructure Outlay,Infrastructure Outlay,19277,0,0,4
Department of Agriculture,Office of the Secretary,Continuing,Infrastructure Outlay,Water Supply Systems,18966,0,0,4
Department of Agriculture,Office of the Secretary,Continuing,Infrastructure Outlay,Communications Networks,311,0,0,4
Department of Agriculture,Office of the Secretary,Continuing,Building and Other Structures Outlay,Building and Other Structures Outlay,367707,0,0,4
Department of Agriculture,Office of the Secretary,Continuing,Building and Other Structures Outlay,Buildings,199892,0,0,4
Department of Agriculture,Office of the Secretary,Continuing,Building and Other Structures Outlay,Other Structures,167815,0,0,4
Department of Agriculture,Office of the Secretary,Automatic,Infrastructure Outlay,Infrastructure Outlay,255728,0,0,4
Department of Agriculture,Office of the Secretary,Automatic,Infrastructure Outlay,Road Networks,197137,0,0,4
