Sector_Name,SubSector_Name,Entity_Type,2024_Actual,2025_Program,2026_GAA,Page_No
ECONOMIC SERVICES,Agriculture Agrarian Reform and Natural Resources,Agriculture,147853265,192624393,247736326,1
ECONOMIC SERVICES,Agriculture Agrarian Reform and Natural Resources,Agrarian Reform,20170945,11101149,18160655,1
ECONOMIC SERVICES,Agriculture Agrarian Reform and Natural Resources,Natural Resources,27306263,29305291,30462000,1
ECONOMIC SERVICES,Trade and Industry,None,25489692,29440988,28483766,1
ECONOMIC SERVICES,Tourism,None,19386912,23908844,23645031,1
ECONOMIC SERVICES,Power and Energy,None,72204514,97352457,108593143,1
ECONOMIC SERVICES,Water Resources Development and Flood Control,None,161302806,304042023,154793522,1
ECONOMIC SERVICES,Communication Roads and Other Transport,None,1316189205,945200511,547452940,1
ECONOMIC SERVICES,Other Economic Services,None,38619979,41293316,40859727,1
ECONOMIC SERVICES,Subsidy to Local Government Units,None,114490640,166816540,190962180,1
SOCIAL SERVICES,Education Culture and Manpower Development,None,956929827,981431305,1253054062,1
SOCIAL SERVICES,Health,None,530568969,576697461,815860924,1
SOCIAL SERVICES,Social Security Welfare and Employment,None,348609479,266201342,324374679,1
SOCIAL SERVICES,Housing and Community Development,None,205933512,315130646,329957210,1
SOCIAL SERVICES,Other Social Services,None,5285225,4825766,6909149,1
SOCIAL SERVICES,Subsidy to Local Government Units,None,246266160,297335600,335866590,1
DEFENSE,Domestic Security,None,264235499,268957305,301672260,1
GENERAL PUBLIC SERVICES,General Administration,None,258173525,291083267,298759588,1
GENERAL PUBLIC SERVICES,Public Order and Safety,None,345822031,376546661,412588209,1
GENERAL PUBLIC SERVICES,Other General Public Services,None,14444538,17110555,16747408,1
GENERAL PUBLIC SERVICES,Subsidy to Local Government Units,None,394687720,549083360,617933020,1
INTEREST PAYMENTS,None,None,775567790,859463928,963082770,1
