Expense_Class,Sub_Expense_Class,Item_Name,2024_Actual,2025_Program,2026_GAA,Page_No
A. PERSONNEL EXPENSES,Permanent Positions,Basic Salary,609327380,571244949,684857438,1
A. PERSONNEL EXPENSES,Permanent Positions,Creation of New Positions,0,4886125,17790799,1
A. PERSONNEL EXPENSES,Permanent Positions,Reclassification of Positions,0,6223029,6209790,1
A. PERSONNEL EXPENSES,Other Compensation Common to All,Personnel Economic Relief Allowance,33433191,32767896,34000202,1
A. PERSONNEL EXPENSES,Other Compensation Common to All,Representation Allowance,2916129,2379619,2438015,1
A. PERSONNEL EXPENSES,Other Compensation Common to All,Transportation Allowance,2438924,2347813,2405069,1
A. PERSONNEL EXPENSES,Other Compensation Common to All,Clothing and Uniform Allowance,9456043,9568781,9928187,1
A. PERSONNEL EXPENSES,Other Compensation Common to All,Honoraria,2183224,2282464,3644647,1
A. PERSONNEL EXPENSES,Other Compensation Common to All,Overtime Pay,2172666,3854861,1664884,1
A. PERSONNEL EXPENSES,Other Compensation Common to All,Year End Bonus,50515095,47591053,57054060,1
A. PERSONNEL EXPENSES,Other Compensation Common to All,Mid-Year Bonus Civilian,49312434,47599569,57071228,1
A. PERSONNEL EXPENSES,Other Compensation Common to All,Cash Gift,6918613,6839046,7095990,1
A. PERSONNEL EXPENSES,Other Compensation Common to All,Per Diems,39840,69563,52079,1
A. PERSONNEL EXPENSES,Other Compensation Common to All,Productivity Enhancement Incentive,6812234,6839046,7095385,1
A. PERSONNEL EXPENSES,Other Compensation Common to All,Step Increment,0,1455002,1714104,1
A. PERSONNEL EXPENSES,Other Compensation Common to All,Performance Based Bonus,16529937,8000000,27201769,1
A. PERSONNEL EXPENSES,Other Compensation Common to All,Collective Negotiation Agreement,8744667,0,0,1
A. PERSONNEL EXPENSES,Other Compensation for Specific Groups,RATA of Sectoral/Alternate Sectoral Representatives,7871,7424,7424,1
A. PERSONNEL EXPENSES,Other Compensation for Specific Groups,Magna Carta for Public Health Workers,14648420,7450267,12123304,1
