Dept_Name,Agency_Name,Program_Category,2024_Actual,2025_Program,2026_GAA,Page_No
Congress of the Philippines (CONGRESS),None,General_Overhead,22059857,20378486,22889904,1
Congress of the Philippines (CONGRESS),None,Locally_Funded_Projects,16430074,26194452,16540366,1
Congress of the Philippines (CONGRESS),None,Foreign_Assisted_Projects,6571567,4243435,0,1
Congress of the Philippines (CONGRESS),None,Total,45061498,50816373,39430270,1
Office of the President (OP),None,General_Overhead,2980310,3056496,2384776,1
Office of the President (OP),None,Locally_Funded_Projects,6738500,7449705,8167182,1
Office of the President (OP),None,Foreign_Assisted_Projects,0,5400000,17552695,1
Office of the President (OP),None,Total,9718810,15906201,28104653,1
Office of the Vice-President (OVP),None,General_Overhead,129732,119921,247227,1
Office of the Vice-President (OVP),None,Locally_Funded_Projects,1653555,624225,655668,1
Office of the Vice-President (OVP),None,Total,1783287,744146,902895,1
Department of Agrarian Reform (DAR),None,General_Overhead,3884996,4020806,3737157,1
Department of Agrarian Reform (DAR),None,Locally_Funded_Projects,11098080,6000232,8114850,1
Department of Agrarian Reform (DAR),None,Foreign_Assisted_Projects,20149,0,0,1
Department of Agrarian Reform (DAR),None,Other_Projects,5493206,1080111,6308648,1
Department of Agrarian Reform (DAR),None,Total,20496431,11101149,18160655,1
Department of Agriculture (DA),None,General_Overhead,10833570,10189099,13540539,1
Department of Agriculture (DA),None,Locally_Funded_Projects,64479950,53492023,63922886,1
Department of Agriculture (DA),None,Foreign_Assisted_Projects,26656407,47039903,95219951,1
Department of Agriculture (DA),None,Other_Projects,9492401,14721578,13830058,1
Department of Agriculture (DA),None,Total,111462328,125442603,186513434,1
Department of Budget and Management (DBM),None,General_Overhead,1583724,2020675,2236106,1
Department of Budget and Management (DBM),None,Locally_Funded_Projects,664296,587413,710375,1
Department of Budget and Management (DBM),None,Foreign_Assisted_Projects,295107,583747,622653,1
Department of Budget and Management (DBM),None,Total,2543127,3191835,3569134,1
Department of Education (DepEd),None,General_Overhead,54836257,26822098,42070055,1
Department of Education (DepEd),None,Locally_Funded_Projects,704763719,752591616,963261343,1
Department of Education (DepEd),None,Foreign_Assisted_Projects,379131,2252296,130000,1
Department of Education (DepEd),None,Other_Projects,205,505024,9848279,1
Department of Education (DepEd),None,Total,759979312,782171034,1015309677,1
State Universities and Colleges (SUCs),None,General_Overhead,22625587,25426863,28360042,1
