Dept_Name,Expense_Class,Object_Expenditure,Approp_Type,2024_Actual,2025_Program,2026_GAA,Page_No
Congress of the Philippines (CONGRESS),Salaries and other Lump-sums,Basic Salary,None,5521559,5460658,6124987,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Personnel Economic Relief Allowance,None,154679,151128,150744,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Representation Allowance,None,37492,110178,110130,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Transportation Allowance,None,31775,108480,108432,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Clothing and Uniform Allowance,None,44668,44079,43967,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Honoraria,None,459,3288,3288,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Overtime Pay,None,60024,2500,2500,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Year End Bonus,None,380723,450500,501448,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Mid-Year Bonus Civilian,None,376526,450500,501448,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Cash Gift,None,31981,31485,31405,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Per Diems,None,280,3300,3300,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Productivity Enhancement Incentive,None,110235,31485,31405,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Step Increment,None,0,13326,14822,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Magna Carta for Public Health Workers,None,39,40,40,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Hazard Pay,None,2679,0,0,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Longevity Pay,None,102459,0,0,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Provident/Welfare Fund Contributions,None,5742,1479,1479,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Lump-sum for filling of Positions Civilian,None,0,1043485,1301410,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Lump-sum for Personnel Services,None,0,2410380,2533378,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Other Personnel Benefits,None,1911337,236712,196488,1
Congress of the Philippines (CONGRESS),Other Benefits,Retirement and Life Insurance Premiums,None,649682,728691,830058,2
Congress of the Philippines (CONGRESS),Other Benefits,PAG-IBIG Contributions,None,15411,15182,15149,2
Congress of the Philippines (CONGRESS),Other Benefits,PhilHealth Contributions,None,113168,106408,113869,2
Congress of the Philippines (CONGRESS),Other Benefits,Employees Compensation Insurance Premiums,None,7974,7592,7573,2
Congress of the Philippines (CONGRESS),Other Benefits,Terminal Leave,None,132549,1232289,1464465,2
Congress of the Philippines (CONGRESS),Other Benefits,Loyalty Award Civilian,None,110,110,110,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Travelling Expenses,None,1043591,3272039,2454071,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,50658,127873,94084,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,108443,1597400,1194005,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Utility Expenses,None,200874,1537020,1079820,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Communication Expenses,None,312283,1958089,1535665,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Survey Research Exploration and Development Expenses,None,0,1,1,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Professional Services,None,1393075,6175365,4421278,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,General Services,None,217650,617108,403085,2
Congress of the Philippines (CONGRESS),Maintenance and Other Operating Services,Repairs and Maintenance,None,27919,1034178,992093,2
