Dept_Name,Climate_Typology,2024_Actual_CC,2025_GAA_CC,2026_GAA_CC,Page_No
DEPARTMENTS,Adaptation,"452,542,181","1,100,363,082","553,868,639",1
DEPARTMENTS,Mitigation,"106,806,823","28,715,145","60,461,078",1
DEPARTMENTS,Total,"559,349,004","1,129,078,227","614,329,717",1
Congress of the Philippines,Adaptation,29,0,"5,200",1
Congress of the Philippines,Mitigation,0,0,"3,050",1
Congress of the Philippines,Total,29,0,"8,250",1
Office of the Vice-President,Adaptation,0,84,84,1
Office of the Vice-President,Mitigation,316,"2,200",200,1
Office of the Vice-President,Total,316,"2,284",284,1
Department of Agrarian Reform,Adaptation,"403,521","436,901","443,853",1
Department of Agrarian Reform,Mitigation,0,0,0,1
Department of Agrarian Reform,Total,"403,521","436,901","443,853",1
Department of Agriculture,Adaptation,"14,729,339","46,630,516","58,509,167",1
Department of Agriculture,Mitigation,"2,109,289","2,046,475","420,754",1
Department of Agriculture,Total,"16,838,628","48,676,991","58,929,921",1
Department of Budget and Management,Adaptation,100,"17,387","13,102",1
Department of Budget and Management,Mitigation,174,"563,545","745,236",1
Department of Budget and Management,Total,274,"580,932","758,338",1
Department of Education,Adaptation,"1,777,901","277,293","3,781,352",1
Department of Education,Mitigation,22,30,"32,337",1
Department of Education,Total,"1,777,923","277,323","3,813,689",1
State Universities and Colleges,Adaptation,"434,847","3,246,989","3,212,708",1
State Universities and Colleges,Mitigation,"72,702","86,712","246,304",1
State Universities and Colleges,Total,"507,549","3,333,701","3,459,012",1
Department of Energy,Adaptation,0,0,0,1
Department of Energy,Mitigation,"962,145","1,051,015","1,501,171",1
Department of Energy,Total,"962,145","1,051,015","1,501,171",1
Department of Environment and Natural Resources,Adaptation,"6,400,051","7,533,198","7,203,007",1
Department of Environment and Natural Resources,Mitigation,"2,365,964","3,234,706","2,409,068",1
Department of Environment and Natural Resources,Total,"8,766,015","10,767,904","9,612,075",1
Department of Finance,Adaptation,0,0,0,1
Department of Finance,Mitigation,"3,118",0,0,1
Department of Finance,Total,"3,118",0,0,1
Department of Foreign Affairs,Adaptation,"4,796","5,016","38,019",1
Department of Foreign Affairs,Mitigation,633,815,0,1
Department of Foreign Affairs,Total,"5,429","5,831","38,019",1
Department of Health,Adaptation,"699,629","1,269,537","793,964",1
Department of Health,Mitigation,0,"5,000",0,1
Department of Health,Total,"699,629","1,274,537","793,964",1
Department of Human Settlements and Urban Development,Adaptation,0,"2,177","2,400",1
Department of Human Settlements and Urban Development,Mitigation,0,0,0,1
Department of Human Settlements and Urban Development,Total,0,"2,177","2,400",1
Department of Information and Communications Technology,Adaptation,0,0,"330,455",1
Department of Information and Communications Technology,Mitigation,0,0,0,1
Department of Information and Communications Technology,Total,0,0,"330,455",1
Department of the Interior and Local Government,Adaptation,"98,762","76,150","76,753",1
Department of the Interior and Local Government,Mitigation,0,0,0,1
Department of the Interior and Local Government,Total,"98,762","76,150","76,753",1
Department of Justice,Adaptation,0,"47,888",0,1
Department of Justice,Mitigation,"10,423","4,444","47,613",1
Department of Justice,Total,"10,423","52,332","47,613",1
Department of Labor and Employment,Adaptation,"1,966,401","3,787","1,968,608",1
Department of Labor and Employment,Mitigation,355,360,"15,420",1
Department of Labor and Employment,Total,"1,966,756","4,147","1,984,028",1
Department of National Defense,Adaptation,"580,920","560,760","1,156,101",1
Department of National Defense,Mitigation,"7,304","7,361","14,638",1
Department of National Defense,Total,"588,224","568,121","1,170,739",1
Department of Migrant Workers,Adaptation,0,0,"7,524",1
Department of Migrant Workers,Mitigation,0,0,0,1
Department of Migrant Workers,Total,0,0,"7,524",1
Department of Public Works and Highways,Adaptation,"418,794,334","1,031,085,541","461,493,421",1
Department of Public Works and Highways,Mitigation,0,0,0,1
Department of Public Works and Highways,Total,"418,794,334","1,031,085,541","461,493,421",1
Department of Science and Technology,Adaptation,"1,593,803","1,900,802","1,950,107",1
Department of Science and Technology,Mitigation,"33,323","48,463","37,469",1
Department of Science and Technology,Total,"1,627,126","1,949,265","1,987,576",1
Department of Social Welfare and Development,Adaptation,"1,421,523","1,469,109","1,723,091",1
Department of Social Welfare and Development,Mitigation,"1,118",0,175,1
Department of Social Welfare and Development,Total,"1,422,641","1,469,109","1,723,266",1
Department of Tourism,Adaptation,"1,458,358","1,766,238","1,874,224",1
Department of Tourism,Mitigation,19,20,0,1
Department of Tourism,Total,"1,458,377","1,766,258","1,874,224",1
Department of Trade and Industry,Adaptation,0,"52,916","211,757",1
Department of Trade and Industry,Mitigation,0,0,"25,145",1
Department of Trade and Industry,Total,0,"52,916","236,902",1
Department of Transportation,Adaptation,"761,966","2,630,000","7,872,253",1
Department of Transportation,Mitigation,"101,154,466","21,571,147","54,716,578",1
Department of Transportation,Total,"101,916,432","24,201,147","62,588,831",1
"Department of Economy, Planning, and Development",Adaptation,"33,072","122,383","96,310",1
"Department of Economy, Planning, and Development",Mitigation,"19,618","37,359","44,344",1
"Department of Economy, Planning, and Development",Total,"52,690","159,742","140,654",1
Presidential Communications Office,Adaptation,"1,383",42,"7,372",1
Presidential Communications Office,Mitigation,225,75,"1,147",1
Presidential Communications Office,Total,"1,608",117,"8,519",1
Other Executive Offices,Adaptation,"1,363,857","1,222,544","995,516",1
Other Executive Offices,Mitigation,"59,719","54,794","139,704",1
Other Executive Offices,Total,"1,423,576","1,277,338","1,135,220",1
The Judiciary,Adaptation,0,"5,000","33,270",1
The Judiciary,Mitigation,0,0,"50,000",1
The Judiciary,Total,0,"5,000","83,270",1
Civil Service Commission,Adaptation,"14,904",624,"19,012",1
Civil Service Commission,Mitigation,"5,890",624,"7,762",1
Civil Service Commission,Total,"20,794","1,248","26,774",1
Commission on Audit,Adaptation,"1,826",0,"46,627",2
Commission on Audit,Mitigation,0,200,350,2
Commission on Audit,Total,"1,826",200,"46,627",2
Office of the Ombudsman,Adaptation,0,0,"3,190",2
Office of the Ombudsman,Mitigation,0,0,"2,613",2
Office of the Ombudsman,Total,0,0,"3,540",2
Commission on Human Rights,Adaptation,859,0,192,2
Commission on Human Rights,Mitigation,0,0,0,2
Commission on Human Rights,Total,859,0,"2,805",2
SPECIAL PURPOSE FUNDS,Adaptation,"18,184,853","23,095,279","29,046,138",2
SPECIAL PURPOSE FUNDS,Mitigation,"4,196,401","3,927,389","5,345,028",2
SPECIAL PURPOSE FUNDS,Total,"22,381,254","27,022,668","34,391,166",2
Allocations to Local Government Units,Adaptation,"2,613,774","5,973,742","3,993,992",2
Allocations to Local Government Units,Mitigation,"3,428,965","2,814,964","2,711,613",2
Allocations to Local Government Units,Total,"6,042,739","8,788,706","6,705,605",2
Budgetary Support to Government Corporations,Adaptation,"15,571,079","17,121,537","25,052,146",2
Budgetary Support to Government Corporations,Mitigation,"767,436","1,112,425","2,633,415",2
Budgetary Support to Government Corporations,Total,"16,338,515","18,233,962","27,685,561",2
TOTAL,Adaptation,"470,727,034","1,123,458,361","582,914,777",2
TOTAL,Mitigation,"111,003,224","32,642,534","65,806,106",2
TOTAL,Total,"581,730,258","1,156,100,895","648,720,883",2
