Dept_Name,Agency_Name,Funding_Source,Item_Name,2024_Actual_Total,2025_Program_Total,2026_GAA_Total,Page_No
Congress of the Philippines (CONGRESS),Senate,New General Appropriations,Building and Other Structures Outlay,2950000,2609900,0,1
Congress of the Philippines (CONGRESS),Senate,Continuing Appropriations,Building and Other Structures Outlay,1565000,0,0,1
Congress of the Philippines (CONGRESS),House of Representatives,New General Appropriations,Building and Other Structures Outlay,2100085,1800000,400000,1
Congress of the Philippines (CONGRESS),House of Representatives,Continuing Appropriations,Building and Other Structures Outlay,607300,0,0,1
Office of the President (OP),The President's Offices,New General Appropriations,Land Improvements Outlay,0,0,16300,1
Office of the President (OP),The President's Offices,New General Appropriations,Building and Other Structures Outlay,1192062,997689,558300,1
Office of the President (OP),The President's Offices,New General Appropriations,Machinery and Equipment Outlay,0,0,5000,1
Office of the President (OP),The President's Offices,Continuing Appropriations,Building and Other Structures Outlay,19165,0,0,1
Department of Agrarian Reform (DAR),Office of the Secretary,New General Appropriations,Land Improvements Outlay,0,3726,0,1
Department of Agrarian Reform (DAR),Office of the Secretary,New General Appropriations,Infrastructure Outlay,0,647,806111,1
Department of Agrarian Reform (DAR),Office of the Secretary,Continuing Appropriations,Building and Other Structures Outlay,20149,0,0,1
Department of Agrarian Reform (DAR),Office of the Secretary,Automatic Appropriations,Infrastructure Outlay,2619400,0,0,1
Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Land Improvements Outlay,48673,161710,320889,2
Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Infrastructure Outlay,2065464,36082053,44079785,2
Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Building and Other Structures Outlay,2179316,4026000,6682293,2
Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Transportation Equipment Outlay,0,0,650,2
Department of Agriculture (DA),Office of the Secretary,Continuing Appropriations,Land Improvements Outlay,12138,0,0,2
Department of Agriculture (DA),Office of the Secretary,Continuing Appropriations,Infrastructure Outlay,19277,0,0,2
Department of Agriculture (DA),Office of the Secretary,Continuing Appropriations,Building and Other Structures Outlay,367707,0,0,2
Department of Agriculture (DA),Office of the Secretary,Automatic Appropriations,Infrastructure Outlay,255728,0,0,2
Department of Agriculture (DA),Office of the Secretary,Automatic Appropriations,Building and Other Structures Outlay,0,19500,0,2
Department of Agriculture (DA),Office of the Secretary,Unprogrammed Appropriations,Infrastructure Outlay,6601567,0,0,2
Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,New General Appropriations,Land Improvements Outlay,19214,376099,184195,2
Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,New General Appropriations,Infrastructure Outlay,35632,206666,126600,2
Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,New General Appropriations,Building and Other Structures Outlay,89231,1517028,1501402,2
Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,New General Appropriations,Transportation Equipment Outlay,0,0,529695,2
Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,Continuing Appropriations,Land Improvements Outlay,68492,0,0,2
Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,Continuing Appropriations,Infrastructure Outlay,3356,0,0,2
Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,Continuing Appropriations,Building and Other Structures Outlay,45337,0,0,2
Department of Agriculture (DA),Fertilizer and Pesticide Authority,New General Appropriations,Building and Other Structures Outlay,0,20000,31800,2
Department of Agriculture (DA),National Fisheries Research and Development Institute,New General Appropriations,Land Improvements Outlay,4000,0,0,3
Department of Agriculture (DA),National Fisheries Research and Development Institute,New General Appropriations,Building and Other Structures Outlay,596,113000,164000,3
Department of Agriculture (DA),National Meat Inspection Service,New General Appropriations,Building and Other Structures Outlay,0,0,100000,3
Department of Agriculture (DA),Philippine Carabao Center,New General Appropriations,Building and Other Structures Outlay,73350,39450,8700,3
Department of Agriculture (DA),Philippine Center For Postharvest Development and Mechanization,New General Appropriations,Building and Other Structures Outlay,21,0,0,3
Department of Agriculture (DA),Philippine Fiber Industry Development Authority,New General Appropriations,Land Improvements Outlay,0,4000,0,3
Department of Agriculture (DA),Philippine Fiber Industry Development Authority,New General Appropriations,Infrastructure Outlay,0,0,9800,3
Department of Agriculture (DA),Philippine Fiber Industry Development Authority,New General Appropriations,Building and Other Structures Outlay,23135,12120,2682,3
Department of Agriculture (DA),Philippine Fiber Industry Development Authority,Continuing Appropriations,Building and Other Structures Outlay,2963,0,0,3
Department of Budget and Management (DBM),Office of the Secretary,New General Appropriations,Land Improvements Outlay,4951,2487,10000,3
Department of Budget and Management (DBM),Office of the Secretary,New General Appropriations,Infrastructure Outlay,0,27594,14530,3
Department of Budget and Management (DBM),Office of the Secretary,New General Appropriations,Building and Other Structures Outlay,41615,59846,29199,3
Department of Budget and Management (DBM),Government Procurement Policy Board-Technical Support Office,New General Appropriations,Building and Other Structures Outlay,0,0,43000,3
Department of Education (DepEd),Office of the Secretary,New General Appropriations,Semi-Expendable Furniture Fixtures and Books Expenses,0,2615216,2615216,4
Department of Education (DepEd),Office of the Secretary,New General Appropriations,Infrastructure Outlay,17605,0,0,4
