Category,Item_Name,Region_Name,2026_GAA_Amount,Page_No
Semi-Expendable Machinery and Equipment Expenses,Information and Communications Technology Equipment,Nationwide,136072,1
Semi-Expendable Machinery and Equipment Expenses,Information and Communications Technology Equipment,Central Office,1545,1
Semi-Expendable Machinery and Equipment Expenses,Information and Communications Technology Equipment,BARMM,137617,1
Semi-Expendable Furniture Fixtures and Books Expenses,Furniture and Fixtures,Nationwide,2615216,1
Semi-Expendable Furniture Fixtures and Books Expenses,Furniture and Fixtures,BARMM,2615216,1
Internet Subscription Expenses,Internet Subscription Expenses,Nationwide,4815754,1
Internet Subscription Expenses,Internet Subscription Expenses,Central Office,1420,1
Internet Subscription Expenses,Internet Subscription Expenses,BARMM,4817174,1
Cable Satellite Telegraph and Radio Expenses,Cable Satellite Telegraph and Radio Expenses,Nationwide,1662,1
Cable Satellite Telegraph and Radio Expenses,Cable Satellite Telegraph and Radio Expenses,BARMM,1662,1
Repairs and Maintenance Infrastructure Assets,Road Networks,Nationwide,10290493,1
Repairs and Maintenance Infrastructure Assets,Road Networks,BARMM,10290493,1
Repairs and Maintenance Infrastructure Assets,Communications Networks,Nationwide,72001,1
Repairs and Maintenance Infrastructure Assets,Communications Networks,BARMM,72001,1
Repairs and Maintenance Infrastructure Assets,Other Infrastructure Assets,Nationwide,531316,1
Repairs and Maintenance Infrastructure Assets,Other Infrastructure Assets,BARMM,531316,1
Repairs and Maintenance Infrastructure Assets,Flood Control Systems,Nationwide,2490000,1
Repairs and Maintenance Infrastructure Assets,Flood Control Systems,BARMM,2490000,1
Repairs and Maintenance Transportation Equipment,Watercrafts,Nationwide,1854725,1
Repairs and Maintenance Transportation Equipment,Watercrafts,BARMM,1854725,1
Repairs and Maintenance Transportation Equipment,Other Transportation Equipment,Nationwide,1341700,1
Repairs and Maintenance Transportation Equipment,Other Transportation Equipment,BARMM,1341700,1
Repairs and Maintenance Leased Assets,Other Leased Assets,Nationwide,500000,1
Repairs and Maintenance Leased Assets,Other Leased Assets,BARMM,500000,1
Assistance to Local Government Units,Financial Assistance to Local Government Units,Central Office,33443,1
Assistance to Local Government Units,Financial Assistance to Local Government Units,BARMM,33443,1
Budgetary Support to Government-Owned or Controlled Corporations,Subsidy Support to Operations of GOCCs,Nationwide,1227175,1
Budgetary Support to Government-Owned or Controlled Corporations,Subsidy Support to Operations of GOCCs,Central Office,5030000,1
Budgetary Support to Government-Owned or Controlled Corporations,Subsidy Support to Operations of GOCCs,Region II,79500,1
Budgetary Support to Government-Owned or Controlled Corporations,Subsidy Support to Operations of GOCCs,BARMM,6336675,1
Budgetary Support to Government-Owned or Controlled Corporations,Power Supply Systems,Central Office,11190577,1
Budgetary Support to Government-Owned or Controlled Corporations,Power Supply Systems,BARMM,11190577,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,Nationwide,31882176,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,NCR,70000,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,CAR,2518982,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,Region I,5143741,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,Region II,1241671,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,Region III,330000,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,Region IV-A,200000,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,Region IV-B,350000,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,Region V,6486127,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,NIR,701238,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,Region VII,140000,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,Region VIII,499888,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,Region X,110000,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,Region XI,284500,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,Region XII,165000,1
Budgetary Support to Government-Owned or Controlled Corporations,Irrigation Systems,BARMM,50123323,1
Budgetary Support to Government-Owned or Controlled Corporations,Other Infrastructure Assets,Central Office,1218025,1
Budgetary Support to Government-Owned or Controlled Corporations,Other Infrastructure Assets,Region II,375000,1
Budgetary Support to Government-Owned or Controlled Corporations,Other Infrastructure Assets,BARMM,1593025,1
Budgetary Support to Government-Owned or Controlled Corporations,Housing and Community Facilities,Central Office,4063352,1
Budgetary Support to Government-Owned or Controlled Corporations,Housing and Community Facilities,BARMM,4063352,1
Budgetary Support to Government-Owned or Controlled Corporations,Road Networks,Central Office,520000,1
Budgetary Support to Government-Owned or Controlled Corporations,Road Networks,Region II,225000,1
Budgetary Support to Government-Owned or Controlled Corporations,Road Networks,BARMM,745000,1
Rent/Lease Expenses,Rents Building and Structures,Nationwide,552951,1
Rent/Lease Expenses,Rents Building and Structures,BARMM,552951,1
Rent/Lease Expenses,Rents Land,Nationwide,6000,1
Rent/Lease Expenses,Rents Land,BARMM,6000,1
Subscription Expenses,Other Subscription Expenses,Nationwide,1687,1
Subscription Expenses,Other Subscription Expenses,BARMM,1687,1
Subscription Expenses,ICT Software Subscription,Nationwide,2450078,1
Subscription Expenses,ICT Software Subscription,Central Office,4170,1
Subscription Expenses,ICT Software Subscription,BARMM,2454248,1
Investment in Government-Owned and/or Controlled Corporations,Other Infrastructure Assets,Region I,1095231,1
Investment in Government-Owned and/or Controlled Corporations,Other Infrastructure Assets,Region II,200000,1
Investment in Government-Owned and/or Controlled Corporations,Other Infrastructure Assets,Region VIII,310000,1
Investment in Government-Owned and/or Controlled Corporations,Other Infrastructure Assets,BARMM,1605231,1
Investment in Government-Owned and/or Controlled Corporations,Road Networks,Region II,205677,1
