Sector_Name,SubSector_Name,2024_Actual_Level,2025_Program_Level,2026_GAA_Level,2026_Percent_Share,Page_No
ECONOMIC SERVICES,Agriculture and Agrarian Reform,254034,247787,313155,4.61,1
ECONOMIC SERVICES,Natural Resources and Environment,26687,29052,29865,0.44,1
ECONOMIC SERVICES,Trade and Industry,13444,13815,15695,0.23,1
ECONOMIC SERVICES,Tourism,7978,8911,7778,0.11,1
ECONOMIC SERVICES,Power and Energy,27922,20234,26895,0.4,1
ECONOMIC SERVICES,Water Resources Development and Flood Control,162187,308320,157925,2.32,1
ECONOMIC SERVICES,Communications Roads and Other Transport,1280041,898999,504892,7.43,1
ECONOMIC SERVICES,Other Economic Services,128612,47743,47591,0.7,1
ECONOMIC SERVICES,Subsidy to Local Government Units,304981,393406,451529,6.65,1
SOCIAL SERVICES,Education Culture and Manpower Development,957946,1040912,1295128,19.07,1
SOCIAL SERVICES,Health,349568,274371,458430,6.75,1
SOCIAL SERVICES,Social Security Welfare and Employment,360902,283731,349998,5.15,1
SOCIAL SERVICES,Housing and Community Development,5749,9361,10675,0.16,1
SOCIAL SERVICES,Other Social Services,5285,5440,7856,0.12,1
SOCIAL SERVICES,Subsidy to Local Government Units,322409,415886,477330,7.03,1
DEFENSE,Domestic Security,338882,378886,423748,6.24,1
GENERAL PUBLIC SERVICES,General Administration,251383,255639,293717,4.32,1
GENERAL PUBLIC SERVICES,Public Order and Safety,423692,455772,500343,7.37,1
GENERAL PUBLIC SERVICES,Other General Public Services,37150,46605,80689,1.19,1
GENERAL PUBLIC SERVICES,Subsidy to Local Government Units,243985,314725,361223,5.32,1
NET LENDING,None,6931,28700,28700,0.42,1
DEBT-SERVICE-INTEREST PAYMENTS,None,763313,848031,950000,13.98,1
