Expense_Type,Recipient_Unit,2024_Actual,2025_Program,2026_GAA,Page_No
CURRENT OPERATING EXPENDITURES,National Government Agencies,2700957104,2692706318,3162877145,1
CURRENT OPERATING EXPENDITURES,Local Government Units,773846856,911140808,1061330485,1
CURRENT OPERATING EXPENDITURES,GOCCs,156298890,50918016,196179322,1
CURRENT OPERATING EXPENDITURES,Creditors,763313000,848030688,950000000,1
Personnel Services,National Government Agencies,1557771941,1632418735,1843203946,1
Personnel Services,Local Government Units,71379,68831,78139,1
Maintenance and Other Operating Expenses,National Government Agencies,1142657000,1060249622,1319639449,1
Maintenance and Other Operating Expenses,Local Government Units,12267398,10660772,28068603,1
Financial Expenses,National Government Agencies,528163,37961,33750,1
Allotment to LGUs (NTA),Local Government Units,697100159,827683895,952407738,1
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Local Government Units,64407920,72727310,80776005,1
Subsidy,GOCCs,156298890,50918016,196179322,1
Interest Payments,Creditors,763313000,848030688,950000000,1
CAPITAL OUTLAYS,National Government Agencies,1541134873,1424889898,983990094,1
CAPITAL OUTLAYS,Local Government Units,241171479,283549808,331538686,1
CAPITAL OUTLAYS,GOCCs,89429048,86388764,78546268,1
Infrastructure,National Government Agencies,1499279181,1310528877,914324510,1
Infrastructure,Local Government Units,210535215,249751288,299233725,1
Infrastructure,GOCCs,84747625,84614177,75862860,1
Special Shares to LGUs,Local Government Units,30536264,32655520,31724961,1
Equity,GOCCs,4681423,1774587,2683408,1
Other Capital Outlays,National Government Agencies,41855692,114361021,69665584,1
Other Capital Outlays,Local Government Units,100000,1143000,580000,1
NET LENDING,GOCCs,6931000,28700000,28700000,1
