Ref,Dept_Name,Agency_Name,Appropriation_Type,Category,Item_Name,2024_Actual_NG,2024_Actual_GOCC,2024_Actual_LGU,2024_Actual_TOTAL,2025_Program_NG,2025_Program_GOCC,2025_Program_LGU,2025_Program_TOTAL,2026_GAA_NG,2026_GAA_GOCC,2026_GAA_LGU,2026_GAA_TOTAL,Page_No
1,Congress of the Philippines (CONGRESS),Senate,New General Appropriations,Building and Other Structures Outlay,Buildings,2950000,0,0,2950000,2609900,0,0,2609900,0,0,0,0,1
2,Congress of the Philippines (CONGRESS),Senate,Continuing Appropriations,Building and Other Structures Outlay,Buildings,1565000,0,0,1565000,0,0,0,0,0,0,0,0,1
3,Congress of the Philippines (CONGRESS),House of Representatives,New General Appropriations,Building and Other Structures Outlay,Buildings,0,0,0,0,0,0,0,0,400000,0,0,400000,1
4,Congress of the Philippines (CONGRESS),House of Representatives,New General Appropriations,Building and Other Structures Outlay,Other Structures,2100085,0,0,2100085,1800000,0,0,1800000,0,0,0,0,1
5,Congress of the Philippines (CONGRESS),House of Representatives,Continuing Appropriations,Building and Other Structures Outlay,Other Structures,607300,0,0,607300,0,0,0,0,0,0,0,0,1
6,Office of the President (OP),The President's Offices,New General Appropriations,Land Improvements Outlay,Other Land Improvements,0,0,0,0,0,0,0,0,16300,0,0,16300,1
7,Office of the President (OP),The President's Offices,New General Appropriations,Building and Other Structures Outlay,Buildings,1192062,0,0,1192062,905994,0,0,905994,558300,0,0,558300,1
8,Office of the President (OP),The President's Offices,New General Appropriations,Building and Other Structures Outlay,Other Structures,0,0,0,0,91695,0,0,91695,0,0,0,0,2
9,Office of the President (OP),The President's Offices,New General Appropriations,Machinery and Equipment Outlay,Military Police and Security Equipment,0,0,0,0,0,0,0,0,5000,0,0,5000,2
10,Office of the President (OP),The President's Offices,Continuing Appropriations,Building and Other Structures Outlay,Buildings,19165,0,0,19165,0,0,0,0,0,0,0,0,2
11,Department of Agrarian Reform (DAR),Office of the Secretary,New General Appropriations,Land Improvements Outlay,Other Land Improvements,0,0,0,0,3726,0,0,3726,0,0,0,0,2
12,Department of Agrarian Reform (DAR),Office of the Secretary,New General Appropriations,Infrastructure Outlay,Road Networks,0,0,0,0,0,0,0,0,666585,0,0,666585,2
13,Department of Agrarian Reform (DAR),Office of the Secretary,New General Appropriations,Infrastructure Outlay,Water Supply Systems,0,0,0,0,485,0,0,485,125773,0,0,125773,2
14,Department of Agrarian Reform (DAR),Office of the Secretary,New General Appropriations,Infrastructure Outlay,Other Infrastructure Assets,0,0,0,0,162,0,0,162,13753,0,0,13753,2
15,Department of Agrarian Reform (DAR),Office of the Secretary,Continuing Appropriations,Building and Other Structures Outlay,Buildings,20149,0,0,20149,0,0,0,0,0,0,0,0,2
16,Department of Agrarian Reform (DAR),Office of the Secretary,Automatic Appropriations,Infrastructure Outlay,Road Networks,2515900,0,0,2515900,0,0,0,0,0,0,0,0,3
17,Department of Agrarian Reform (DAR),Office of the Secretary,Automatic Appropriations,Infrastructure Outlay,Water Supply Systems,103500,0,0,103500,0,0,0,0,0,0,0,0,3
18,Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Land Improvements Outlay,Other Land Improvements,48673,0,0,48673,161710,0,0,161710,320889,0,0,320889,3
19,Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Infrastructure Outlay,Road Networks,0,0,0,0,31412548,0,0,31412548,37822712,0,0,37822712,3
20,Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Infrastructure Outlay,Water Supply Systems,1330314,0,0,1330314,4049028,0,0,4049028,2922131,0,0,2922131,3
21,Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Infrastructure Outlay,Power Supply Systems,0,0,0,0,0,0,0,0,7485,0,0,7485,3
22,Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Infrastructure Outlay,Communications Networks,0,0,0,0,5480,0,0,5480,0,0,0,0,3
23,Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Infrastructure Outlay,Other Infrastructure Assets,735150,0,0,735150,614997,0,0,614997,3327457,0,0,3327457,3
24,Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Building and Other Structures Outlay,Buildings,1223194,0,0,1223194,1409979,0,0,1409979,4880671,0,0,4880671,3
25,Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Building and Other Structures Outlay,Slaughterhouses,0,0,0,0,1800,0,0,1800,0,0,0,0,3
26,Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Building and Other Structures Outlay,Hostels and Dormitories,0,0,0,0,0,0,0,0,12600,0,0,12600,3
27,Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Building and Other Structures Outlay,Other Structures,956122,0,0,956122,2614221,0,0,2614221,1789022,0,0,1789022,3
28,Department of Agriculture (DA),Office of the Secretary,New General Appropriations,Transportation Equipment Outlay,Watercrafts,0,0,0,0,0,0,0,0,650,0,0,650,4
29,Department of Agriculture (DA),Office of the Secretary,Continuing Appropriations,Land Improvements Outlay,Other Land Improvements,12138,0,0,12138,0,0,0,0,0,0,0,0,4
30,Department of Agriculture (DA),Office of the Secretary,Continuing Appropriations,Infrastructure Outlay,Water Supply Systems,18966,0,0,18966,0,0,0,0,0,0,0,0,4
31,Department of Agriculture (DA),Office of the Secretary,Continuing Appropriations,Infrastructure Outlay,Communications Networks,311,0,0,311,0,0,0,0,0,0,0,0,4
32,Department of Agriculture (DA),Office of the Secretary,Continuing Appropriations,Building and Other Structures Outlay,Buildings,199892,0,0,199892,0,0,0,0,0,0,0,0,4
33,Department of Agriculture (DA),Office of the Secretary,Continuing Appropriations,Building and Other Structures Outlay,Other Structures,167815,0,0,167815,0,0,0,0,0,0,0,0,4
34,Department of Agriculture (DA),Office of the Secretary,Automatic Appropriations,Infrastructure Outlay,Road Networks,197137,0,0,197137,0,0,0,0,0,0,0,0,4
35,Department of Agriculture (DA),Office of the Secretary,Automatic Appropriations,Infrastructure Outlay,Water Supply Systems,57571,0,0,57571,0,0,0,0,0,0,0,0,4
36,Department of Agriculture (DA),Office of the Secretary,Automatic Appropriations,Infrastructure Outlay,Other Infrastructure Assets,1020,0,0,1020,0,0,0,0,0,0,0,0,4
37,Department of Agriculture (DA),Office of the Secretary,Automatic Appropriations,Building and Other Structures Outlay,Buildings,0,0,0,0,19500,0,0,19500,0,0,0,0,4
38,Department of Agriculture (DA),Office of the Secretary,Unprogrammed Appropriations,Infrastructure Outlay,Road Networks,5013687,0,0,5013687,0,0,0,0,0,0,0,0,5
39,Department of Agriculture (DA),Office of the Secretary,Unprogrammed Appropriations,Infrastructure Outlay,Water Supply Systems,423199,0,0,423199,0,0,0,0,0,0,0,0,5
40,Department of Agriculture (DA),Office of the Secretary,Unprogrammed Appropriations,Infrastructure Outlay,Other Infrastructure Assets,1164681,0,0,1164681,0,0,0,0,0,0,0,0,5
41,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,New General Appropriations,Land Improvements Outlay,Aquaculture Structures,12742,0,0,12742,236090,0,0,236090,181195,0,0,181195,5
42,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,New General Appropriations,Land Improvements Outlay,Other Land Improvements,6472,0,0,6472,140009,0,0,140009,3000,0,0,3000,5
43,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,New General Appropriations,Infrastructure Outlay,Water Supply Systems,0,0,0,0,10000,0,0,10000,31175,0,0,31175,5
44,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,New General Appropriations,Infrastructure Outlay,Power Supply Systems,21490,0,0,21490,17100,0,0,17100,27519,0,0,27519,5
45,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,New General Appropriations,Infrastructure Outlay,Other Infrastructure Assets,14142,0,0,14142,179566,0,0,179566,67906,0,0,67906,5
46,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,New General Appropriations,Building and Other Structures Outlay,Buildings,65784,0,0,65784,210120,0,0,210120,70360,0,0,70360,5
47,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,New General Appropriations,Building and Other Structures Outlay,Hostels and Dormitories,0,0,0,0,4000,0,0,4000,0,0,0,0,5
48,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,New General Appropriations,Building and Other Structures Outlay,Other Structures,23447,0,0,23447,1302908,0,0,1302908,1431042,0,0,1431042,5
49,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,New General Appropriations,Transportation Equipment Outlay,Watercrafts,0,0,0,0,0,0,0,0,529695,0,0,529695,5
50,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,Continuing Appropriations,Land Improvements Outlay,Aquaculture Structures,68200,0,0,68200,0,0,0,0,0,0,0,0,6
51,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,Continuing Appropriations,Land Improvements Outlay,Other Land Improvements,292,0,0,292,0,0,0,0,0,0,0,0,6
52,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,Continuing Appropriations,Infrastructure Outlay,Power Supply Systems,3356,0,0,3356,0,0,0,0,0,0,0,0,6
53,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,Continuing Appropriations,Building and Other Structures Outlay,Buildings,2186,0,0,2186,0,0,0,0,0,0,0,0,6
54,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,Continuing Appropriations,Building and Other Structures Outlay,Other Structures,43151,0,0,43151,0,0,0,0,0,0,0,0,6
55,Department of Agriculture (DA),Fertilizer and Pesticide Authority,New General Appropriations,Building and Other Structures Outlay,Buildings,0,0,0,0,0,0,0,0,31800,0,0,31800,6
56,Department of Agriculture (DA),Fertilizer and Pesticide Authority,New General Appropriations,Building and Other Structures Outlay,Other Structures,0,0,0,0,20000,0,0,20000,0,0,0,0,6
57,Department of Agriculture (DA),National Fisheries Research and Development Institute,New General Appropriations,Land Improvements Outlay,Aquaculture Structures,4000,0,0,4000,0,0,0,0,0,0,0,0,6
58,Department of Agriculture (DA),National Fisheries Research and Development Institute,New General Appropriations,Building and Other Structures Outlay,Buildings,0,0,0,0,113000,0,0,113000,164000,0,0,164000,6
59,Department of Agriculture (DA),National Fisheries Research and Development Institute,New General Appropriations,Building and Other Structures Outlay,Other Structures,596,0,0,596,0,0,0,0,0,0,0,0,7
60,Department of Agriculture (DA),National Meat Inspection Service,New General Appropriations,Building and Other Structures Outlay,Buildings,0,0,0,0,0,0,0,0,100000,0,0,100000,7
61,Department of Agriculture (DA),Philippine Carabao Center,New General Appropriations,Building and Other Structures Outlay,Other Structures,73350,0,0,73350,39450,0,0,39450,8700,0,0,8700,7
62,Department of Agriculture (DA),Philippine Center For Postharvest Development and Mechanization,New General Appropriations,Building and Other Structures Outlay,Other Structures,21,0,0,21,0,0,0,0,0,0,0,0,7
