Sector_Name,SubSector_Name,Entity_Type,2024_Actual_NG,2024_Actual_GOCC,2024_Actual_LGU,2024_Actual_TOTAL,2025_Program_NG,2025_Program_GOCC,2025_Program_LGU,2025_Program_TOTAL,2026_GAA_NG,2026_GAA_GOCC,2026_GAA_LGU,2026_GAA_TOTAL,Page_No
ECONOMIC SERVICES,Agriculture Agrarian Reform and Natural Resources,Agriculture,112699153,35154112,0,147853265,127114281,65510112,0,192624393,188213468,59522858,0,247736326,1
ECONOMIC SERVICES,Agriculture Agrarian Reform and Natural Resources,Agrarian Reform,20170945,0,0,20170945,11101149,0,0,11101149,18160655,0,0,18160655,1
ECONOMIC SERVICES,Agriculture Agrarian Reform and Natural Resources,Natural Resources,26516902,789361,0,27306263,27396332,1908959,0,29305291,28414691,2047309,0,30462000,1
ECONOMIC SERVICES,Trade and Industry,None,10622855,14866837,0,25489692,11146771,18294217,0,29440988,11631274,16852492,0,28483766,1
ECONOMIC SERVICES,Tourism,None,3288749,16098163,0,19386912,3897609,20011235,0,23908844,4225126,19419905,0,23645031,1
ECONOMIC SERVICES,Power and Energy,None,4373799,67830715,0,72204514,5051037,92301420,0,97352457,6268935,102324208,0,108593143,1
ECONOMIC SERVICES,Water Resources Development and Flood Control,None,161302806,0,0,161302806,304042023,0,0,304042023,154793522,0,0,154793522,1
ECONOMIC SERVICES,Communication Roads and Other Transport,None,1273070839,43118366,0,1316189205,876144078,69056433,0,945200511,480443269,67009671,0,547452940,1
ECONOMIC SERVICES,Other Economic Services,None,8083715,0,30536264,38619979,8637796,0,32655520,41293316,9134766,0,31724961,40859727,1
ECONOMIC SERVICES,Subsidy to Local Government Units,None,0,0,114490640,114490640,0,0,166816540,166816540,0,0,190962180,190962180,1
SOCIAL SERVICES,Education Culture and Manpower Development,None,956929827,0,0,956929827,981431305,0,0,981431305,1253054062,0,0,1253054062,1
SOCIAL SERVICES,Health,None,280503514,250065455,0,530568969,258525223,318172238,0,576697461,311023936,504836988,0,815860924,1
SOCIAL SERVICES,Social Security Welfare and Employment,None,348008712,600767,0,348609479,265367591,833751,0,266201342,323851917,522762,0,324374679,1
SOCIAL SERVICES,Housing and Community Development,None,2549659,203383853,0,205933512,3749046,311381600,0,315130646,2015168,327942042,0,329957210,1
SOCIAL SERVICES,Other Social Services,None,5285225,0,0,5285225,4825766,0,0,4825766,6909149,0,0,6909149,1
SOCIAL SERVICES,Subsidy to Local Government Units,None,0,0,246266160,246266160,0,0,297335600,297335600,0,0,335866590,335866590,1
DEFENSE,Domestic Security,None,264235499,0,0,264235499,268957305,0,0,268957305,301672260,0,0,301672260,1
GENERAL PUBLIC SERVICES,General Administration,None,241081117,17092408,0,258173525,238057178,53026089,0,291083267,274614425,24145163,0,298759588,1
GENERAL PUBLIC SERVICES,Public Order and Safety,None,345822031,0,0,345822031,376546661,0,0,376546661,412588209,0,0,412588209,1
GENERAL PUBLIC SERVICES,Other General Public Services,None,14444538,0,0,14444538,17110555,0,0,17110555,16747408,0,0,16747408,1
GENERAL PUBLIC SERVICES,Subsidy to Local Government Units,None,0,0,394687720,394687720,0,0,549083360,549083360,0,0,617933020,617933020,1
INTEREST PAYMENTS,None,None,763313000,0,12254790,775567790,848030688,0,11433240,859463928,950000000,0,13082770,963082770,1
