Dept_Name,Agency_Name,2024_Actual_General_Administration_and_Support,2024_Actual_Support_to_Operations,2024_Actual_Locally_Funded_Projects,2024_Actual_Foreign_Assisted_Projects,2024_Actual_Other_Projects,2024_Actual_Total,2025_Program_General_Administration_and_Support,2025_Program_Support_to_Operations,2025_Program_Locally_Funded_Projects,2025_Program_Foreign_Assisted_Projects,2025_Program_Other_Projects,2025_Program_Total,2026_GAA_General_Administration_and_Support,2026_GAA_Support_to_Operations,2026_GAA_Locally_Funded_Projects,2026_GAA_Foreign_Assisted_Projects,2026_GAA_Other_Projects,2026_GAA_Total,Page_No
Congress of the Philippines (CONGRESS),None,22059857,0,16430074,6571567,0,45061498,20378486,0,26194452,4243435,0,50816373,22889904,0,16540366,0,0,39430270,1
Office of the President (OP),None,2980310,0,6738500,0,0,9718810,3056496,0,7449705,5400000,0,15906201,2384776,0,8167182,17552695,0,28104653,1
Office of the Vice-President (OVP),None,129732,0,1653555,0,0,1783287,119921,0,624225,0,0,744146,247227,0,655668,0,0,902895,1
Department of Agrarian Reform (DAR),None,3122880,762116,11098080,20149,5493206,20496431,2309410,1711396,6000232,0,1080111,11101149,2494964,1242193,8114850,0,6308648,18160655,1
Department of Agriculture (DA),None,4164195,6669375,64479950,26656407,9492401,111462328,3258537,6930562,53492023,47039903,14721578,125442603,4189370,9351169,63922886,95219951,13830058,186513434,1
Department of Budget and Management (DBM),None,1155674,428050,664296,295107,0,2543127,1391945,628730,587413,583747,0,3191835,1564990,671116,710375,622653,0,3569134,1
Department of Education (DepEd),None,48090783,6745474,704763719,379131,205,759979312,21640731,5181367,752591616,2252296,505024,782171034,31356573,10713482,963261343,130000,9848279,1015309677,1
State Universities and Colleges (SUCs),None,20775359,1850228,63671717,47123393,0,133420697,23274409,2152454,62254643,39545998,0,127227504,25978671,2381371,101411180,14298310,0,144069532,1
Department of Energy (DOE),None,648318,485273,659507,860298,0,2653396,684698,670429,834063,896014,0,3085204,677121,766651,2990388,0,0,4434160,1
Department of Environment and Natural Resources (DENR),None,6429094,3541500,15412081,1466737,6213,26855625,5521057,4134282,16300162,1336730,0,27292231,6419343,3797570,16708615,1342748,0,28268276,1
Department of Finance (DOF),None,28605050,678201,33279076,485185,272469,63319981,6676131,773848,24479035,561084,0,32490098,7159011,1011272,24051376,571184,400021,33192864,1
Department of Foreign Affairs (DFA),None,5878098,15379,15219903,0,0,21113380,5291740,110371,22450688,0,0,27852799,7419879,125312,21361840,0,0,28907031,1
Department of Health (DOH),None,18326950,2918944,207200357,47561243,1887802,277895296,14639581,2305090,233693955,1284280,1437863,253360769,18318021,1140721,276173905,284280,8669531,304586458,1
Department of Human Settlements and Urban Development (DHSUD),None,1305800,194638,945177,139566,0,2585181,927276,585499,1458453,777818,0,3749046,860998,166349,952821,35000,0,2015168,1
Department of Information and Communications Technology (DICT),None,1273865,54441,3952899,9529058,0,14810263,1684029,658168,4831464,7924100,0,15097761,1736314,94352,6360026,6771862,3255123,18217677,1
Department of the Interior and Local Government (DILG),None,98470669,1579794,234503979,7217579,0,341772021,21235839,1769478,248586947,10372186,0,281964450,24261863,1821543,273902233,10486492,0,310472131,1
Department of Justice (DOJ),None,11178948,808627,25446635,658777,0,38092987,8810103,1108610,28226149,4043510,0,42188372,10459331,832044,32136200,2097315,0,45524890,1
Department of Labor and Employment (DOLE),None,4060344,91782,59862848,361609,40096,64416679,4164686,871065,43354413,281883,3082047,51754094,4052557,589837,56431496,288980,447829,61810699,1
Department of Migrant Workers (DMW),None,2402879,0,8093969,0,0,10496848,1635102,0,7114257,0,0,8749359,2041463,0,9703764,0,0,11745227,1
Department of National Defense (DND),None,103729796,0,210504360,39177606,0,353411762,43934929,0,228024409,4014485,0,275973823,45170491,0,253485071,11340737,0,309996299,1
