Dept_Name,Expense_Class,Object_Expenditure,Approp_Type,2024_Actual_New_General,2024_Actual_Automatic,2024_Actual_Total,2025_Program_New_General,2025_Program_Automatic,2025_Program_Total,2026_GAA_New_General,2026_GAA_Automatic,2026_GAA_Total,Page_No
Congress of the Philippines (CONGRESS),Salaries and other Lump-sums,Basic Salary,None,5521559,0,5521559,5460658,0,5460658,6124987,0,6124987,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Personnel Economic Relief Allowance,None,154679,0,154679,151128,0,151128,150744,0,150744,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Representation Allowance,None,37492,0,37492,110178,0,110178,110130,0,110130,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Transportation Allowance,None,31775,0,31775,108480,0,108480,108432,0,108432,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Clothing and Uniform Allowance,None,44668,0,44668,44079,0,44079,43967,0,43967,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Honoraria,None,459,0,459,3288,0,3288,3288,0,3288,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Overtime Pay,None,60024,0,60024,2500,0,2500,2500,0,2500,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Year End Bonus,None,380723,0,380723,450500,0,450500,501448,0,501448,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Mid-Year Bonus Civilian,None,376526,0,376526,450500,0,450500,501448,0,501448,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Cash Gift,None,31981,0,31981,31485,0,31485,31405,0,31405,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Per Diems,None,280,0,280,3300,0,3300,3300,0,3300,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Productivity Enhancement Incentive,None,110235,0,110235,31485,0,31485,31405,0,31405,1
Congress of the Philippines (CONGRESS),Other Compensation Common to All,Step Increment,None,0,0,0,13326,0,13326,14822,0,14822,1
Congress of the Philippines (CONGRESS),Other Compensation for Specific Groups,Magna Carta for Public Health Workers,None,39,0,39,40,0,40,40,0,40,1
