Department_Special_Purpose_Fund_Name,2024_Actual_CC_Expenditure_Adaptation,2024_Actual_CC_Expenditure_Mitigation,2024_Actual_CC_Expenditure_Total,2025_GAA_CC_Expenditure_Adaptation,2025_GAA_CC_Expenditure_Mitigation,2025_GAA_CC_Expenditure_Total,2026_GAA_CC_Expenditure_Adaptation,2026_GAA_CC_Expenditure_Mitigation,2026_GAA_CC_Expenditure_Total,Notes
DEPARTMENTS (Total),452542181,106806823,559349004,1100363082,28715145,1129078227,553868639,60461078,614329717,
Congress of the Philippines,29,,29,,,,5200,3050,8250,
Office of the Vice-President,,316,316,84,2200,2284,84,200,284,
Department of Agrarian Reform,403521,,403521,436901,,436901,443853,,443853,
Department of Agriculture,14729339,2109289,16838628,46630516,2046475,48676991,58509167,420754,58929921,
Department of Budget and Management,100,174,274,17387,563545,580932,13102,745236,758338,
Department of Education,1777901,22,1777923,277293,30,277323,3781352,32337,3813689,
State Universities and Colleges,434847,72702,507549,3246989,86712,3333701,3212708,246304,3459012,
Department of Energy,,962145,962145,,1051015,1051015,,1501171,1501171,
Department of Environment and Natural Resources,6400051,2365964,8766015,7533198,3234706,10767904,7203007,2409068,9612075,
Department of Finance,,3118,3118,,,,,,,
Department of Foreign Affairs,4796,633,5429,5016,815,5831,38019,,38019,
Department of Health,699629,,699629,1269537,5000,1274537,793964,,793964,
Department of Human Settlements and Urban Development,,,,2177,,2177,2400,,2400,
Department of Information and Communications Technology,,,,,,,330455,,330455,
Department of the Interior and Local Government,98762,,98762,76150,,76150,76753,,76753,
Department of Justice,,10423,10423,47888,4444,52332,,47613,47613,
Department of Labor and Employment,1966401,355,1966756,3787,360,4147,1968608,15420,1984028,
Department of National Defense,580920,7304,588224,560760,7361,568121,1156101,14638,1170739,
Department of Migrant Workers,,,,,,,7524,,7524,
Department of Public Works and Highways,418794334,,418794334,1031085541,,1031085541,461493421,,461493421,
Department of Science and Technology,1593803,33323,1627126,1900802,48463,1949265,1950107,37469,1987576,
Department of Social Welfare and Development,1421523,1118,1422641,1469109,,1469109,1723091,175,1723266,
Department of Tourism,1458358,19,1458377,1766238,20,1766258,1874224,,1874224,
Department of Trade and Industry,,,,52916,,52916,211757,25145,236902,
Department of Transportation,761966,101154466,101916432,2630000,21571147,24201147,7872253,54716578,62588831,
"Department of Economy, Planning, and Development (formerly National Economic and Development Authority)",33072,19618,52690,122383,37359,159742,96310,44344,140654,
Presidential Communications Office,1383,225,1608,42,75,117,7372,1147,8519,
Other Executive Offices,1363857,59719,1423576,1222544,54794,1277338,995516,139704,1135220,1/ Pertaining to the CC expenditures of the Climate Change Commission and other offices
The Judiciary,,,,5000,,5000,33270,50000,83270,
Civil Service Commission,14904,5890,20794,624,624,1248,19012,7762,26774,
Commission on Audit,1826,,1826,,,,46627,,46627,
Office of the Ombudsman,,,,,,,3190,350,3540,
Commission on Human Rights,859,,859,200,,200,192,2613,2805,
SPECIAL PURPOSE FUNDS (Total),18184853,4196401,22381254,23095279,3927389,27022668,29046138,5345028,34391166,
Allocations to Local Government Units,2613774,3428965,6042739,5973742,2814964,8788706,3993992,2711613,6705605,2/ Representing the CC expenditures of the Metropolitan Manila Development Authority
Budgetary Support to Government Corporations,15571079,767436,16338515,17121537,1112425,18233962,25052146,2633415,27685561,3/ Referring to CC expenditures of various government corporations
TOTAL,470727034,111003224,581730258,1123458361,32642534,1156100895,582914777,65806106,648720883,
