Sector_Name,SubSector_Name,2024_Actual_Level,2024_Actual_Percent_Share,2025_Program_Level,2025_Program_Percent_Share,2026_GAA_Level,2026_GAA_Percent_Share,Page_No
ECONOMIC SERVICES,Agriculture and Agrarian Reform,254034,4.05,247787,3.92,313155,4.61,1
ECONOMIC SERVICES,Natural Resources and Environment,26687,0.43,29052,0.46,29865,0.44,1
ECONOMIC SERVICES,Trade and Industry,13444,0.21,13815,0.22,15695,0.23,1
ECONOMIC SERVICES,Tourism,7978,0.13,8911,0.14,7778,0.11,1
ECONOMIC SERVICES,Power and Energy,27922,0.45,20234,0.32,26895,0.4,1
ECONOMIC SERVICES,Water Resources Development and Flood Control,162187,2.59,308320,4.87,157925,2.32,1
ECONOMIC SERVICES,Communications Roads and Other Transport,1280041,20.41,898999,14.21,504892,7.43,1
ECONOMIC SERVICES,Other Economic Services,128612,2.05,47743,0.75,47591,0.7,1
ECONOMIC SERVICES,Subsidy to Local Government Units,304981,4.86,393406,6.22,451529,6.65,1
SOCIAL SERVICES,Education Culture and Manpower Development,957946,15.27,1040912,16.45,1295128,19.07,1
SOCIAL SERVICES,Health,349568,5.57,274371,4.34,458430,6.75,1
SOCIAL SERVICES,Social Security Welfare and Employment,360902,5.75,283731,4.48,349998,5.15,1
SOCIAL SERVICES,Housing and Community Development,5749,0.09,9361,0.15,10675,0.16,1
SOCIAL SERVICES,Other Social Services,5285,0.08,5440,0.09,7856,0.12,1
SOCIAL SERVICES,Subsidy to Local Government Units,322409,5.14,415886,6.57,477330,7.03,1
DEFENSE,Domestic Security,338882,5.4,378886,5.99,423748,6.24,1
GENERAL PUBLIC SERVICES,General Administration,251383,4.01,255639,4.04,293717,4.32,1
GENERAL PUBLIC SERVICES,Public Order and Safety,423692,6.75,455772,7.2,500343,7.37,1
GENERAL PUBLIC SERVICES,Other General Public Services,37150,0.59,46605,0.74,80689,1.19,1
GENERAL PUBLIC SERVICES,Subsidy to Local Government Units,243985,3.89,314725,4.97,361223,5.32,1
NET LENDING,None,6931,0.11,28700,0.45,28700,0.42,1
DEBT-SERVICE-INTEREST PAYMENTS,None,763313,12.17,848031,13.4,950000,13.98,1
