Dept_Name,2024_Actual_Personnel_Services,2024_Actual_Maintenance_and_Other_Operating_Expenses,2024_Actual_Capital_Outlays_and_Net_Lending,2024_Actual_Financial_Expenses,2024_Actual_Total,2025_Program_Personnel_Services,2025_Program_Maintenance_and_Other_Operating_Expenses,2025_Program_Capital_Outlays_and_Net_Lending,2025_Program_Financial_Expenses,2025_Program_Total,2026_GAA_Personnel_Services,2026_GAA_Maintenance_and_Other_Operating_Expenses,2026_GAA_Capital_Outlays_and_Net_Lending,2026_GAA_Financial_Expenses,2026_GAA_Total,Page_No
Congress of the Philippines (CONGRESS),10108605,25271977,9680916,0,45061498,13065289,28762698,8988386,0,50816373,14513909,23890348,1026013,0,39430270,1
Office of the President (OP),1503807,6788145,1426858,0,9718810,1334205,13004311,1567685,0,15906201,1820373,25563777,720503,0,28104653,1
Office of the Vice-President (OVP),196999,1559579,26709,0,1783287,188514,499232,56400,0,744146,212538,673753,16604,0,902895,1
Department of Agrarian Reform (DAR),6726965,11121937,2647529,0,20496431,5822653,5048101,230395,0,11101149,6711396,10576546,872713,0,18160655,1
Department of Agriculture (DA),7489189,73822611,30150528,0,111462328,6550389,60027369,58864845,0,125442603,7640074,103325385,75547975,0,186513434,1
Department of Budget and Management (DBM),1330302,1015305,197520,0,2543127,1134759,1848723,208353,0,3191835,1400696,1968893,199545,0,3569134,1
Department of Education (DepEd),612281356,137275643,10422313,0,759979312,589645545,157742574,34782915,0,782171034,706329481,209285307,99694889,0,1015309677,1
State Universities and Colleges (SUCs),70682950,37102219,25635528,0,133420697,70238541,39605181,17383782,0,127227504,83125015,45188768,15755749,0,144069532,1
Department of Energy (DOE),874313,1189181,589902,0,2653396,761272,1633033,690899,0,3085204,910255,2572465,951440,0,4434160,1
Department of Environment and Natural Resources (DENR),12591313,10777693,3486619,0,26855625,10963544,12444945,3883742,0,27292231,12466368,12341351,3460557,0,28268276,1
Department of Finance (DOF),16119228,42492856,4188357,519540,63319981,13459538,12304035,6695632,30893,32490098,15513187,12003437,5649558,26682,33192864,1
Department of Foreign Affairs (DFA),10173824,9983922,955634,0,21113380,9877463,15614916,2360420,0,27852799,12050526,13723630,3132875,0,28907031,1
Department of Health (DOH),94894881,159482111,23518304,0,277895296,86783224,124997520,41580025,0,253360769,108879316,158337595,37369547,0,304586458,1
Department of Human Settlements and Urban Development (DHSUD),1254062,1033513,297606,0,2585181,1076417,2187623,485006,0,3749046,1265523,695975,53670,0,2015168,1
Department of Information and Communications Technology (DICT),1574143,11161672,2074448,0,14810263,1354170,10945464,2798127,0,15097761,1595337,11245717,5376623,0,18217677,1
Department of the Interior and Local Government (DILG),298753173,33072342,9946506,0,341772021,228654874,39250720,14058856,0,281964450,257006425,41298582,12167124,0,310472131,1
Department of Justice (DOJ),28110787,6367150,3615050,0,38092987,24728267,10794504,6665601,0,42188372,28599166,11992177,4933547,0,45524890,1
Department of Labor and Employment (DOLE),9215892,53914651,1286136,0,64416679,7912918,40188456,3652720,0,51754094,9059272,51844310,907117,0,61810699,1
Department of Migrant Workers (DMW),2584030,5431399,2480693,726,10496848,2448456,5942539,358364,0,8749359,3581672,7537390,626165,0,11745227,1
Department of National Defense (DND),222243249,77370419,53798086,8,353411762,163971388,79392899,32609536,0,275973823,167745955,95472519,46777825,0,309996299,1
Department of Public Works and Highways (DPWH),14901379,16122017,1208689785,0,1239713181,13181881,6929387,1068689040,0,1088800308,15562458,18408677,496927726,0,530898861,1
Department of Science and Technology (DOST),5414754,19918966,2195785,0,27529505,4971500,20793556,3229617,0,28994673,5948766,22252382,3923219,0,32124367,1
Department of Social Welfare and Development (DSWD),14288459,265909526,1329907,0,281527892,11270794,205534246,731977,0,217537017,16926262,251088376,2174763,0,270189401,1
Department of Tourism (DOT),814576,2021594,473465,49,3309684,764466,2787673,345470,0,3897609,899766,3076467,248893,0,4225126,1
Department of Trade and Industry (DTI),3526102,5590572,568886,0,9685560,3109572,5662324,927198,0,9699094,3690507,5455839,1015564,0,10161910,1
Department of Transportation (DOTr),27928900,32187380,125616799,7840,185740919,27398358,19050899,41541773,7068,87998098,31972463,21077197,84789660,7068,137846388,1
Department of Economy Planning and Development (DEPDev),4123349,10529144,773272,0,15425765,3503126,7489068,1642798,0,12634992,4058392,8876179,1016559,0,13951130,1
Presidential Communications Office (PCO),1139230,1097791,235542,0,2472563,1035735,1029581,103618,0,2168934,1132959,1284553,132436,0,2549948,1
Other Executive Offices (OEOs),7286282,44033933,7065617,0,58385832,7378457,50714404,7177166,0,65270027,8400540,65244230,8746433,0,82391203,1
The Judiciary (JUD),45275427,10193608,5592600,0,61061635,41867116,14341319,7804465,0,64012900,46437687,17042261,7130921,0,70610869,1
Civil Service Commission (CSC),1704160,566227,185263,0,2455650,1648147,748593,486489,0,2883229,1838589,845384,317239,0,3001212,1
Commission on Audit (COA),13394901,921037,870518,0,15186456,12551130,954447,111763,0,13617340,14236459,724927,649517,0,15610903,1
Commission on Elections (COMELEC),5438379,25050993,403556,0,30892928,6277802,25033844,4191025,0,35502671,4905258,11688767,3602288,0,20196313,1
Office of the Ombudsman (OMB),3156945,1922270,663533,0,5742748,3289235,2067790,515129,0,5872154,3728395,2396689,452407,0,6577491,1
Commission on Human Rights (CHR),670030,357617,45103,0,1072750,576014,464327,155931,0,1196272,696234,560935,155075,0,1412244,1
Budgetary Support to Government Corporations (BSGC),371302,240675213,11612423,0,252658938,371302,135160891,30474587,0,166006780,371302,271670880,31383408,0,303425590,1
Allocations to Local Government Units (ALGU),507219,1011204386,3306730,0,1015018335,68831,1188733308,5888477,0,1194690616,78139,1389037426,3753606,0,1392869171,1
National Disaster Risk Reduction and Management Fund ( Calamity Fund ),0,0,0,0,0,0,11685250,9314750,0,21000000,0,27355000,12467355,0,39822355,2
Contingent Fund,0,0,0,0,0,0,8000000,5000000,0,13000000,0,8000000,5000000,0,13000000,2
Miscellaneous Personnel Benefits Fund,0,0,0,0,0,108927872,200000,0,0,109127872,76847627,200000,0,0,77047627,2
