Dept_Name,Agency_Name,2024_Actual_Personnel_Services,2024_Actual_Maintenance_and_Other_Operating_Expenses,2024_Actual_Capital_Outlays_and_Net_Lending,2024_Actual_Financial_Expenses,2024_Actual_Total,2025_Program_Personnel_Services,2025_Program_Maintenance_and_Other_Operating_Expenses,2025_Program_Capital_Outlays_and_Net_Lending,2025_Program_Financial_Expenses,2025_Program_Total,2026_GAA_Personnel_Services,2026_GAA_Maintenance_and_Other_Operating_Expenses,2026_GAA_Capital_Outlays_and_Net_Lending,2026_GAA_Financial_Expenses,2026_GAA_Total,Page_No
Congress of the Philippines (CONGRESS),Senate,3739465,3722793,6625115,0,14087373,4243876,5190960,4704076,0,14138912,4698998,4119593,0,0,8818591,1
Congress of the Philippines (CONGRESS),Senate Electoral Tribunal,198505,52359,1212,0,252076,258258,65235,3082,0,326575,310118,86437,10000,0,406555,1
Congress of the Philippines (CONGRESS),Commission on Appointments,472071,754735,14523,0,1241329,649305,1045135,20667,0,1715107,658010,1040482,16013,0,1714505,1
Congress of the Philippines (CONGRESS),House of Representatives,5512203,20662264,3040066,0,29214533,7733343,22396977,4000000,0,34130320,8639458,18578258,1000000,0,28217716,1
Congress of the Philippines (CONGRESS),House of Representatives Electoral Tribunal,186361,79826,0,0,266187,180507,64391,260561,0,505459,207325,65578,0,0,272903,1
Office of the President (OP),The President's Offices,1503807,6788145,1426858,0,9718810,1334205,13004311,1567685,0,15906201,1820373,25563777,720503,0,28104653,1
Office of the Vice-President (OVP),Office of the Vice-President (OVP),196999,1559579,26709,0,1783287,188514,499232,56400,0,744146,212538,673753,16604,0,902895,1
Department of Agrarian Reform (DAR),Office of the Secretary,6726965,11121937,2647529,0,20496431,5822653,5048101,230395,0,11101149,6711396,10576546,872713,0,18160655,1
Department of Agriculture (DA),Office of the Secretary,5070501,65562285,20350477,0,90983263,4510511,51799970,52148731,0,108459212,5250719,92301211,68489889,0,166041819,1
Department of Agriculture (DA),Agricultural Credit Policy Council,49189,53788,2750000,0,2852977,45410,69261,2750000,0,2864671,50704,67310,3000000,0,3118014,1
Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,1208657,6297336,747901,0,8253894,1004888,6188848,3391278,0,10585014,1185650,7443801,3294057,0,11923508,1
Department of Agriculture (DA),Fertilizer and Pesticide Authority,133525,81515,55,0,215095,118187,84445,81913,0,284545,131995,188716,113612,0,434323,1
Department of Agriculture (DA),Development Institute,92353,386066,45659,0,524078,90479,413479,115400,0,619358,94055,433946,222200,0,750201,1
Department of Agriculture (DA),National Meat Inspection Service,300522,197811,36485,0,534818,259014,255608,8200,0,522822,298819,293847,106315,0,698981,1
Department of Agriculture (DA),Philippine Carabao Center,179641,424386,237942,0,841969,137746,535534,182890,0,856170,151627,1767998,172190,0,2091815,1
Department of Agriculture (DA),Development and Mechanization,156255,379369,5929053,0,6464677,143494,267398,36235,0,447127,165295,312405,11200,0,488900,1
Department of Agriculture (DA),Philippine Council for Agriculture and Fisheries,77865,159824,3910,0,241599,65903,146102,9288,0,221293,80621,180681,9800,0,271102,1
Department of Agriculture (DA),Philippine Fiber Industry Development Authority,220681,280231,49046,0,549958,174757,266724,140910,0,582391,230589,335470,128712,0,694771,1
Department of Budget and Management (DBM),Office of the Secretary,1270667,974526,174306,0,2419499,1083166,1788604,193957,0,3065727,1346302,1889392,147249,0,3382943,2
Department of Budget and Management (DBM),-Technical Support Office,59635,40779,23214,0,123628,51593,60119,14396,0,126108,54394,79501,52296,0,186191,2
Department of Education (DepEd),Office of the Secretary,611795411,135968431,9826807,0,757590649,589240055,156080132,33922842,0,779243029,705785453,207379562,99473592,0,1012638607,2
Department of Education (DepEd),National Book Development Board,57677,180762,650,0,239089,49297,289776,9338,0,348411,54635,151936,0,0,206571,2
Department of Education (DepEd),National Council for Children's Television,19131,54318,4853,0,78302,21590,85950,4200,0,111740,26003,91585,0,0,117588,2
Department of Education (DepEd),National Museum of the Philippines,306891,464830,573942,0,1345663,241171,552444,795406,0,1589021,350263,535724,130000,0,1015987,2
Department of Education (DepEd),Philippine High School for the Arts,42167,72556,1979,0,116702,40982,85817,26455,0,153254,49861,84182,87917,0,221960,2
Department of Education (DepEd),Early Childhood Care and Development Council,16744,296895,3116,0,316755,15295,401435,2522,0,419252,0,0,0,0,0,2
Department of Education (DepEd),National Academy of Sports,43335,237851,10966,0,292152,37155,247020,22152,0,306327,58361,487289,0,0,545650,2
Department of Education (DepEd),Teacher Education Council,0,0,0,0,0,0,0,0,0,0,4905,555029,3380,0,563314,2
State Universities and Colleges (SUCs),National Capital Region (NCR),21705738,9314358,2384370,0,33404466,21056552,10232045,1250920,0,32539517,24418416,13257215,3135346,0,40810977,2
